1000,0,0.00067
2000,0,0.00164
3000,0.001,0.00207
4000,0,0.00276
5000,0.001,0.004
6000,0.001,0.00445
7000,0.001,0.00526
8000,0.001,0.00628
9000,0.001,0.00702
10000,0.002,0.00799
11000,0.001,0.00861
12000,0.002,0.00968
13000,0.002,0.01078
14000,0.002,0.01152
15000,0.002,0.01228
16000,0.002,0.01339
17000,0.002,0.01429
18000,0.002,0.01519
19000,0.002,0.01623
20000,0.004,0.01719
21000,0.002,0.01828
22000,0.003,0.01914
23000,0.003,0.02059
24000,0.003,0.02177
25000,0.003,0.02238
26000,0.004,0.0234
27000,0.004,0.02409
28000,0.003,0.02621
29000,0.005,0.02659
30000,0.004,0.02726
31000,0.005,0.02778
32000,0.004,0.02909
33000,0.004,0.03119
34000,0.003,0.03134
35000,0.004,0.03243
36000,0.003,0.03321
37000,0.004,0.03476
38000,0.004,0.03536
39000,0.004,0.03705
40000,0.005,0.03773
41000,0.005,0.03914
42000,0.005,0.04016
43000,0.006,0.0433
44000,0.006,0.04305
45000,0.005,0.04348
46000,0.006,0.04708
47000,0.005,0.04711
48000,0.006,0.04752
49000,0.005,0.05028
50000,0.005,0.04925
51000,0.007,0.05122
52000,0.009,0.05154
53000,0.005,0.05332
54000,0.006,0.05359
55000,0.007,0.05872
56000,0.005,0.05957
57000,0.005,0.0573
58000,0.006,0.05872
59000,0.008,0.05991
60000,0.006,0.0609
61000,0.006,0.06236
62000,0.006,0.06358
63000,0.007,0.06448
64000,0.008,0.0654
65000,0.007,0.06742
66000,0.007,0.06878
67000,0.007,0.06963
68000,0.006,0.07177
69000,0.007,0.0724
70000,0.007,0.07366
71000,0.007,0.07421
72000,0.008,0.07582
73000,0.007,0.07699
74000,0.009,0.07929
75000,0.009,0.08309
76000,0.009,0.08217
77000,0.01,0.0832
78000,0.008,0.08484
79000,0.009,0.08755
80000,0.01,0.08879
81000,0.009,0.08765
82000,0.009,0.08995
83000,0.008,0.09124
84000,0.008,0.09193
85000,0.009,0.09491
86000,0.009,0.09704
87000,0.01,0.09699
88000,0.017,0.10241
89000,0.011,0.09864
90000,0.011,0.09948
91000,0.01,0.10032
92000,0.011,0.10086
93000,0.013,0.10351
94000,0.01,0.10434
95000,0.009,0.10566
96000,0.012,0.10762
97000,0.011,0.10905
98000,0.012,0.11138
99000,0.013,0.11165
100000,0.011,0.11333
